FileName,Time Recorded,Tool,Overall Task,Tool bounding box
AN01-20210104-154854_0000.jpg,0.0209999,nothing,nothing,"[{'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0001.jpg,0.279,nothing,nothing,"[{'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0002.jpg,0.4,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 365, 'ymin': 75, 'xmax': 416, 'ymax': 197}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0003.jpg,0.819,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 365, 'ymin': 75, 'xmax': 416, 'ymax': 197}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0004.jpg,0.929,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 365, 'ymin': 75, 'xmax': 416, 'ymax': 197}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0005.jpg,1.037,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 365, 'ymin': 75, 'xmax': 416, 'ymax': 197}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0006.jpg,1.139,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 365, 'ymin': 75, 'xmax': 416, 'ymax': 197}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0007.jpg,1.241,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 362, 'ymin': 78, 'xmax': 421, 'ymax': 193}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0008.jpg,1.341,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 362, 'ymin': 78, 'xmax': 421, 'ymax': 193}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0009.jpg,1.443,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 362, 'ymin': 78, 'xmax': 421, 'ymax': 193}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0010.jpg,1.545,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 362, 'ymin': 78, 'xmax': 421, 'ymax': 193}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0011.jpg,1.647,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 362, 'ymin': 78, 'xmax': 421, 'ymax': 193}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0012.jpg,1.755,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 367, 'ymin': 81, 'xmax': 431, 'ymax': 204}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0013.jpg,1.864,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 374, 'ymin': 101, 'xmax': 432, 'ymax': 206}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0014.jpg,1.964,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 374, 'ymin': 101, 'xmax': 432, 'ymax': 206}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0015.jpg,2.065,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 374, 'ymin': 101, 'xmax': 432, 'ymax': 206}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0016.jpg,2.167,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 376, 'ymin': 102, 'xmax': 433, 'ymax': 207}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0017.jpg,2.272,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 376, 'ymin': 102, 'xmax': 432, 'ymax': 208}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0018.jpg,2.373,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 376, 'ymin': 102, 'xmax': 432, 'ymax': 208}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0019.jpg,2.478,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 376, 'ymin': 102, 'xmax': 432, 'ymax': 208}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0020.jpg,2.579,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 381, 'ymin': 102, 'xmax': 437, 'ymax': 209}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0021.jpg,2.68,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 394, 'ymin': 109, 'xmax': 446, 'ymax': 214}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0022.jpg,2.782,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 394, 'ymin': 109, 'xmax': 446, 'ymax': 214}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0023.jpg,2.883,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 394, 'ymin': 109, 'xmax': 446, 'ymax': 214}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0024.jpg,2.985,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 390, 'ymin': 107, 'xmax': 440, 'ymax': 214}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0025.jpg,3.103,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 390, 'ymin': 107, 'xmax': 440, 'ymax': 214}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0026.jpg,3.203,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 385, 'ymin': 108, 'xmax': 440, 'ymax': 212}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0027.jpg,3.319,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 385, 'ymin': 108, 'xmax': 440, 'ymax': 212}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0028.jpg,3.429,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 385, 'ymin': 108, 'xmax': 440, 'ymax': 212}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0029.jpg,3.529,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 385, 'ymin': 108, 'xmax': 438, 'ymax': 213}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0030.jpg,3.638,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 385, 'ymin': 108, 'xmax': 438, 'ymax': 213}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0031.jpg,3.741,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 383, 'ymin': 103, 'xmax': 438, 'ymax': 211}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0032.jpg,3.841,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 383, 'ymin': 103, 'xmax': 438, 'ymax': 211}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0033.jpg,3.955,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 383, 'ymin': 103, 'xmax': 439, 'ymax': 214}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0034.jpg,4.066,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 383, 'ymin': 103, 'xmax': 439, 'ymax': 214}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0035.jpg,4.179,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 383, 'ymin': 103, 'xmax': 439, 'ymax': 214}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
AN01-20210104-154854_0036.jpg,4.279,nothing,nothing,"[{'class': 'ultrasound', 'xmin': 384, 'ymin': 111, 'xmax': 436, 'ymax': 212}, {'class': 'syringe', 'xmin': 482, 'ymin': 328, 'xmax': 587, 'ymax': 391}]"
